Theoretical Total Time,47.27553749084473
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,29.153248119354245,29.153248119354245
 , ,P2,2.363776874542236,29.94117374420166,27.577396869659424
 , ,P3,4.727553749084472,26.78947124481201,22.06191749572754
 , ,P4,7.879256248474121,47.27553749084473,39.396281242370605
 , ,P5,8.667181873321534,45.6996862411499,37.032504367828366
 , ,P6,11.03095874786377,42.54798374176025,31.517024993896484
Real Total Time,47.51850390434265
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,29.85451102256775,29.85451102256775
 , ,P2,2.3064382076263428,30.76344633102417,28.457008123397827
 , ,P3,4.713983774185181,26.619381427764893,21.905397653579712
 , ,P4,7.819571256637573,47.51850390434265,39.69893264770508
 , ,P5,8.561350107192993,45.901525259017944,37.34017515182495
 , ,P6,9.349957942962646,42.58424711227417,33.23428916931152
Error (Real-Theoretical) Total Time,0.2429664134979248
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,0.7012629032135038,0.7012629032135038
 , ,P2,-0.05733866691589329,0.8222725868225105,0.8796112537384033
 , ,P3,-0.01356997489929146,-0.170089817047117,-0.15651984214782644
 , ,P4,-0.05968499183654785,0.2429664134979248,0.30265140533447266
 , ,P5,-0.1058317661285404,0.20183901786804626,0.3076707839965849
 , ,P6,-1.6810008049011227,0.0362633705139217,1.717264175415039
